url,name
https://novosibirsk.hh.ru/vacancy/69406832,QA Engineer (Rest API)
"https://novosibirsk.hh.ru/vacancy/69264458,""Младший инженер по тестированию (Пользовательский контент и модерация, Торговая площадка)"""
https://novosibirsk.hh.ru/vacancy/69314429,Тестировщик (web) / QA Junior
https://novosibirsk.hh.ru/vacancy/69373580,Тестировщик
https://novosibirsk.hh.ru/vacancy/69580326,Backend QA Engineer
https://novosibirsk.hh.ru/vacancy/69306484,Инженер по мобильному тестированию (VK Музыка)
"https://novosibirsk.hh.ru/vacancy/69014852,""Тестировщик мобильных и web-приложений в команду """"Лента"""" (Одноклассники)"""
https://novosibirsk.hh.ru/vacancy/69015076,QA инженер
https://novosibirsk.hh.ru/vacancy/69168427,Тестировщик
https://novosibirsk.hh.ru/vacancy/66607473,QA-инженер
https://novosibirsk.hh.ru/vacancy/69413505,Тестировщик мобильных приложений для iOS в Браузер
https://novosibirsk.hh.ru/vacancy/69602624,Тестировщик/Middle QA инженер (Кольцово)
"https://novosibirsk.hh.ru/vacancy/69667636,""Инженер по тестированию, (Логистика / Системы оперирования точкой ПВЗ)"""
https://novosibirsk.hh.ru/vacancy/69470923,QA Engineer (Тестировщик ПО)
https://novosibirsk.hh.ru/vacancy/69487615,QA Manual Engineer (Web)
https://novosibirsk.hh.ru/vacancy/69722485,Специалист по тестированию на проникновение (пентестер)
https://novosibirsk.hh.ru/vacancy/68144701,Инженер по тестированию ПО
https://novosibirsk.hh.ru/vacancy/69305024,QA Engineer (OS Back)
https://novosibirsk.hh.ru/vacancy/69353538,QA Mobile Manual - remote
https://novosibirsk.hh.ru/vacancy/69766710,Middle QA Engineer
https://novosibirsk.hh.ru/vacancy/69354062,Middle Manual QA
https://novosibirsk.hh.ru/vacancy/69177012,Функциональный тестировщик/QA инженер
https://novosibirsk.hh.ru/vacancy/68917380,Тестировщик ПО/ QA Engineer
https://novosibirsk.hh.ru/vacancy/69427906,Тестировщик (manual)
https://novosibirsk.hh.ru/vacancy/48357705,Инженер по тестированию ПО
https://novosibirsk.hh.ru/vacancy/69668911,Инженер по тестированию (MIDDLE)
https://novosibirsk.hh.ru/vacancy/68792559,Инженер по тестированию в Тинькофф Бизнес
https://novosibirsk.hh.ru/vacancy/68694925,QA Engineer
https://novosibirsk.hh.ru/vacancy/69498254,QA Engineer / тестировщик (middle) в офис Краснодар
https://novosibirsk.hh.ru/vacancy/68124870,Тестировщик ПО/ QA- Engineer
https://novosibirsk.hh.ru/vacancy/69708245,Тестировщик Middle
https://novosibirsk.hh.ru/vacancy/68407588,Тестировщик
https://novosibirsk.hh.ru/vacancy/68854539,Специалист по тестированию (проект РШК)
https://novosibirsk.hh.ru/vacancy/69682031,Senior manual QA engineer / тестировщик ПО
https://novosibirsk.hh.ru/vacancy/68960526,QA Engineer
https://novosibirsk.hh.ru/vacancy/69650732,Инженер-тестировщик (ViPNet EndPoint Protection)
https://novosibirsk.hh.ru/vacancy/68596854,Тестировщик программного обеспечения
https://novosibirsk.hh.ru/vacancy/54307715,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/68554666,Инженер-тестировщик
https://novosibirsk.hh.ru/vacancy/69612249,Mobile QA-инженер в сервис транспорта
https://novosibirsk.hh.ru/vacancy/68588077,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69354999,QA инженер
https://novosibirsk.hh.ru/vacancy/69252144,QA-engineer
https://novosibirsk.hh.ru/vacancy/69518365,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/68974854,Ведущий инженер группы измерений электрических параметров ЭКБ ВЧ и СВЧ диапазона
https://novosibirsk.hh.ru/vacancy/69404930,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69535517,QA Engineer (Feeds Team)
https://novosibirsk.hh.ru/vacancy/67026221,QA Engineer (middle)
https://novosibirsk.hh.ru/vacancy/69718540,Ведущий специалист по тестированию ПО (Manual)
https://novosibirsk.hh.ru/vacancy/69208540,QA engineer (manual)
https://novosibirsk.hh.ru/vacancy/69419385,Тестировщик ПО (Linux)
https://novosibirsk.hh.ru/vacancy/69098682,Software QA / Тестировщик SW
https://novosibirsk.hh.ru/vacancy/54331548,Младший инженер по тестированию прошивок
https://novosibirsk.hh.ru/vacancy/69629290,Middle/Senior QA Engineer
https://novosibirsk.hh.ru/vacancy/69167303,QA Engineer (Тестировщик)
https://novosibirsk.hh.ru/vacancy/69708519,Тестировщик
https://novosibirsk.hh.ru/vacancy/69088582,QA Engineer
https://novosibirsk.hh.ru/vacancy/69704016,Senior QA Engineer
https://novosibirsk.hh.ru/vacancy/55421319,Программист-тестировщик (отдел автотестирования)
https://novosibirsk.hh.ru/vacancy/68839266,QA Engineer
https://novosibirsk.hh.ru/vacancy/69070070,Тестировщик ПО (федеральный проект)
https://novosibirsk.hh.ru/vacancy/69722484,Специалист по тестированию на проникновение (пентестер)
https://novosibirsk.hh.ru/vacancy/68610909,Инженер-тестировщик
https://novosibirsk.hh.ru/vacancy/69752096,QA тестировщик в киберспорт сферу
https://novosibirsk.hh.ru/vacancy/67028710,Младший инженер по тестированию ПО
https://novosibirsk.hh.ru/vacancy/69484523,Ручной тестировщик (расчеты и платежи)
https://novosibirsk.hh.ru/vacancy/69390819,Manual QA Engineer
https://novosibirsk.hh.ru/vacancy/69476618,QA Manual/Automation Engineer
https://novosibirsk.hh.ru/vacancy/69592196,Problem Manager
https://novosibirsk.hh.ru/vacancy/68841913,Middle QA Engineer
https://novosibirsk.hh.ru/vacancy/68895525,Инженер по тестированию (middle/senior QA)
https://novosibirsk.hh.ru/vacancy/69180814,Middle QA(Manual)
https://novosibirsk.hh.ru/vacancy/68891042,Middle QA engineer (Allods Team)
https://novosibirsk.hh.ru/vacancy/69174718,QA инженер
https://novosibirsk.hh.ru/vacancy/69078685,Senior/middle QA (удалённо)
https://novosibirsk.hh.ru/vacancy/69501799,Middle+/Senior QA (Банковский проект)
https://novosibirsk.hh.ru/vacancy/68979834,Junior QA engineer/Специалист по тестированию (Офис)
https://novosibirsk.hh.ru/vacancy/69626846,Эксперт по регрессионному тестированию
https://novosibirsk.hh.ru/vacancy/68973728,Manual QA engineer
https://novosibirsk.hh.ru/vacancy/66982432,Head of QA - Руководитель отдела тестирования
https://novosibirsk.hh.ru/vacancy/66072549,Тестировщик/QA
https://novosibirsk.hh.ru/vacancy/69096557,Специалист по тестированию ПО
https://novosibirsk.hh.ru/vacancy/69583138,Data Analyst/Data Science
https://novosibirsk.hh.ru/vacancy/69486412,Руководитель направления тестирования / QA Head (Тинькофф Инвестиции)
https://novosibirsk.hh.ru/vacancy/68857320,Middle/Senior QA инженер
https://novosibirsk.hh.ru/vacancy/68877987,Middle QA инженер
"https://novosibirsk.hh.ru/vacancy/69331819,""Senior QA Engineer (BI, Georgia/Europe)"""
https://novosibirsk.hh.ru/vacancy/68769327,Тестировщик/QA Engineer
https://novosibirsk.hh.ru/vacancy/69752101,QA тестировщик в киберспорт сферу
https://novosibirsk.hh.ru/vacancy/69171935,QA Engineer (тестировщик ПО)
https://novosibirsk.hh.ru/vacancy/69653885,Инженер по проверке автоэлектроники
https://novosibirsk.hh.ru/vacancy/69489363,QA Engineer \ Тестировщик
https://novosibirsk.hh.ru/vacancy/55421351,Программист -тестировщик (отдел автотестирования)
https://novosibirsk.hh.ru/vacancy/69527427,QA инженер Dashboard SberBPM
https://novosibirsk.hh.ru/vacancy/69683370,QA Engineer
